Neighborhood,Id,Estimate; Total,Margin of Error; Total,Total Courts,Population per Court
West End,88,235.0,138.0,2,117.5
Allegheny Center,1,1411.0,196.0,9,156.78
Regent Square,67,1033.0,101.0,6,172.17
Beltzhoover,9,1702.0,343.072878555,9,189.11
Troy Hill,85,2283.0,323.167139419,8,285.38
East Carnegie,27,610.0,120.0,2,305.0
Manchester,49,1944.0,257.099202644,6,324.0
Highland Park,40,6810.0,870.084478657,20,340.5
Oakwood,60,1058.0,147.0,3,352.67
Hays,38,405.0,109.0,1,405.0
Spring Garden,75,840.0,151.558569537,2,420.0
Hazelwood,39,4257.0,666.937028512,10,425.7
Lower Lawrenceville,48,2572.0,389.97948664,6,428.67
Terrace Village,84,2292.0,264.463608083,5,458.4
New Homestead,56,973.0,105.0,2,486.5
Elliott,30,2491.0,405.687071522,5,498.2
Fairywood,32,1181.0,238.0,2,590.5
Spring Hill-City View,76,2456.0,423.935136548,4,614.0
Squirrel Hill South,78,16042.0,889.712313054,26,617.0
Fineview,33,1270.0,285.217460896,2,635.0
Swisshelm Park,83,1345.0,106.0,2,672.5
Bedford Dwellings,7,1349.0,180.0,2,674.5
Strip District,81,747.0,94.0,1,747.0
South Side Slopes,74,4583.0,516.263498613,6,763.83
Morningside,52,3262.0,378.788859392,4,815.5
Homewood West,43,850.0,229.139695383,1,850.0
Lincoln Place,46,3499.0,484.242707741,4,874.75
Bon Air,12,920.0,171.0,1,920.0
East Liberty,29,5537.0,612.871112062,6,922.83
Sheraden,70,5684.0,740.850862185,6,947.33
Crawford-Roberts,24,2225.0,329.528450972,2,1112.5
Beechview,8,8078.0,719.658252228,7,1154.0
South Side Flats,73,6292.0,747.59213479,5,1258.4
Duquesne Heights,25,2522.0,350.750623663,2,1261.0
Banksville,6,3858.0,581.107563192,3,1286.0
Crafton Heights,23,3964.0,384.981817753,3,1321.33
Garfield,35,3966.0,397.273205741,3,1322.0
Polish Hill,66,1331.0,174.315805365,1,1331.0
Upper Lawrenceville,87,2754.0,435.70861823,2,1377.0
East Hills,28,2859.0,435.754518049,2,1429.5
Central Northside,19,2892.0,345.741232716,2,1446.0
South Oakland,71,2921.0,513.468596898,2,1460.5
Brookline,14,13160.0,943.065215136,9,1462.22
Greenfield,37,7690.0,699.464795397,5,1538.0
Larimer,45,1641.0,322.952008819,1,1641.0
Point Breeze North,65,1732.0,261.024903026,1,1732.0
Bloomfield,10,8669.0,491.348145412,5,1733.8
Mount Washington,54,8743.0,613.158217756,5,1748.6
Middle Hill,51,1760.0,287.125408141,1,1760.0
Upper Hill,86,1884.0,408.074748055,1,1884.0
Perry North,62,3771.0,398.571198156,2,1885.5
Stanton Heights,80,4761.0,418.092095117,2,2380.5
Lincoln-Lemington-Belmar,47,4955.0,471.055198463,2,2477.5
Allentown,3,2558.0,449.773276218,1,2558.0
Point Breeze,64,5414.0,333.9550868,2,2707.0
Carrick,16,10122.0,826.666196236,3,3374.0
Perry South,63,3398.0,479.242110002,1,3398.0
Brighton Heights,13,7421.0,560.572921216,2,3710.5
Central Lawrenceville,18,4775.0,383.429263359,1,4775.0
Central Oakland,20,5822.0,659.416408653,1,5822.0
Marshall-Shadeland,50,6195.0,737.094295189,1,6195.0
Shadyside,69,13562.0,861.984918663,2,6781.0
Squirrel Hill North,77,11336.0,767.783172516,1,11336.0
